Band Number,Disposition,Species,Age,Sex,Month,Day,Year,Bird Status,Bander ID,Location,How Captured,Wing Chord,Bird Weight,Tarsus Length,Culmen Length,Bill Width,Bill Height,Transmitter Affixed,Cloacal Swab,Blood Sample Taken,AI Sample #,Mercury Sample ID,Capture Time,Transmitter ID,Aux Marker Type,Season
120865923,1,TWFG,AHY,F,9,18,2019,380,AM,SLWA,Rocket Net,450,2300,75.05,56.8,25.5,25.9,Y,N,N,NA,NA,15:45,192590,80F,Pre
120865924,1,TWFG,AHY,F,9,18,2019,380,AM,SLWA,Rocket Net,441,2400,77.85,54.2,25.3,25.5,Y,N,N,NA,NA,15:45,182591,80F,Pre
120865501,1,TWFG,AHY,M,9,20,2019,300,AM,DELNWR,Rocket Net,469,3188,87.85,57.27,28.88,28.5,N,N,N,NA,NA,16:30,,,Pre
120865502,1,TWFG,HY,F,9,20,2019,300,AM,DELNWR,Rocket Net,432,2654,81.37,55,26.92,26.86,N,N,N,NA,NA,16:30,,,Pre
120865503,1,TWFG,AHY,M,9,20,2019,300,AM,DELNWR,Rocket Net,457,2884,87.85,57.27,27.56,26.7,N,N,N,NA,NA,16:30,,,Pre
120865504,1,TWFG,AHY,M,9,20,2019,300,AM,DELNWR,Rocket Net,440,2460,83.38,56.11,26.28,25.88,N,N,N,NA,NA,16:30,,,Pre
219785251,1,LSGO,SY,M,2,12,2019,300,JK,GLWA,Rocket Net,444,1776,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785252,1,LSGO,SY,F,2,12,2019,300,JK,GLWA,Rocket Net,403,1852,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785253,1,LSGO,SY,F,2,12,2019,300,JK,GLWA,Rocket Net,408,2038,NA,NA,NA,NA,N,N,N,NA,NA,15:00,,,Post
219785254,1,ROGO,ASY,F,2,12,2019,380,JK,GLWA,Rocket Net,360,1274,NA,NA,NA,NA,Y,N,N,NA,NA,15:00,182117,80F,Post
219785255,1,LSGO,ASY,F,2,12,2019,380,JK,GLWA,Rocket Net,394,1896,NA,NA,NA,NA,Y,N,N,NA,NA,15:00,182116,80F,Post
219785256,1,LSGO,ASY,F,2,12,2019,380,JK,GLWA,Rocket Net,416,2108,NA,NA,NA,NA,Y,N,N,NA,NA,15:00,182110,80F,Post
219785257,1,LSGO,ASY,F,2,12,2019,380,JK,GLWA,Rocket Net,425,2110,NA,NA,NA,NA,Y,N,N,NA,NA,15:00,180950,80F,Post
219785258,1,LSGO,ASY,F,2,12,2019,380,JK,GLWA,Rocket Net,428,2172,NA,NA,NA,NA,Y,N,N,NA,NA,15:00,182119,80F,Post
219785259,1,LSGO,ASY,F,2,12,2019,380,JK,GLWA,Rocket Net,428,2026,NA,NA,NA,NA,Y,N,N,NA,NA,15:00,182128,80F,Post
219785260,1,LSGO,ASY,F,2,12,2019,380,JK,GLWA,Rocket Net,406,1856,NA,NA,NA,NA,Y,N,N,NA,NA,15:00,182118,80F,Post
219785261,1,LSGO,ASY,F,2,12,2019,380,JK,GLWA,Rocket Net,430,2062,NA,NA,NA,NA,Y,N,N,NA,NA,15:00,180956,80F,Post
